Intake Date,Species,Species Class,Age,# of Animals,Date Found,Specific Location,City Found,Cause for Admission,Comments
8/20/19,American Bull Frog,Amphibian,Young Adult,1,08/18/19,Trail,Barrington,"Back injury, no improvement in leg condition",
8/29/19,American Bull Frog,Amphibian,Juvenile,1,8/29/19,Finder's address,Warwick,FX leg,
7/26/19,American Toad,Amphibian,Adult,1,07/25/19,Finder's address,Foster,"Dog stepped on toad. L leg broken, losing circulation",
8/7/19,American Toad,Amphibian,Adult,1,08/07/19,King Preserve,Saunderstown,Throat and foot cut due to weed wacker,
12/19/19,Spotted Salamander,Amphibian,Adult,1,12/19/19,Finder's address,Exeter,No injury. Disturbed brumation,
11/17/19,Wood Frog,Amphibian,Young Adult,1,11/11/19,Finder's address,Charlestown,No injury. Found in bucket/cold weather,
12/9/19,American Bald Eagle,Bird,Sub-adult,1,12/09/19,200 Shippee Platt Rd,Coventry,Suspect lead/back injury,
9/7/19,American Bittern,Bird,Adult,1,09/07/19,7 Conant Ave,Narragansett,"FX R wing, exposed bone",
10/16/19,American Bittern,Bird,Adult,1,10/16/19,82 Warren aVe,Middletown,FX leg,
10/29/19,American Coot,Bird,Adult,1,10/28/19,"2nd Beach, near stop sign",Middletown,FX legs,
3/5/19,American Crow,Bird,Adult,1,3/5/19,Fitchbury City Landfill,"Westminstrer, MA","FX L wrist, possibly shot",
6/6/19,American Crow,Bird,Juvenile,1,06/05/19,Finder's address,West Warwick,Orphaned juvenile,
6/10/19,American Crow,Bird,Juvenile,1,06/10/19,Finder's address,Coventry,Wing injury,
7/7/19,American Crow,Bird,Young Adult,1,07/07/19,Broad Rock Rd,South Kingstown,"HBC, back injury/leg, dislocated L leg",
7/10/19,American Crow,Bird,Juvenile,1,07/10/19,44 Taplow St,Warwick,"Unable to take flight, hopping around yard",
7/30/19,American Crow,Bird,Adult,1,07/30/19,242 Main Rd,Tiverton,"Possible leg or wing, failing, blind, internal trauma",
8/4/19,American Crow,Bird,Adult,1,08/03/19,Rte 24,Portsmouth,"HBC, broken leg (bone exposed)",
8/5/19,American Crow,Bird,Adult,1,08/05/19,Finder's address,Warwick,FX R elbow,
8/17/19,American Crow,Bird,Adult,1,08/17/19,Corner of Pitman ST and Butler Ave,Providence,Possible West Nile ,
8/22/19,American Crow,Bird,Adult,1,08/22/19,Unknown,Coventry,Possible West Nile,
8/25/19,American Crow,Bird,Adult,1,8/25/19,4159 Old Post Rd,Charlestown,"Unknown, not flying",
8/28/19,American Crow,Bird,Adult,1,8/28/19,Burlingame State Park,Charlestown,Broken legs,
9/6/19,American Crow,Bird,Adult,1,09/06/19,84 narragansett Ave W,Wakefield,Dislocated L shoulder,
9/14/19,American Crow,Bird,Adult,1,09/14/19,"Rt 4, near Tower Hill",,Grazed by car while eating a squirrel,
9/23/19,American Crow,Bird,Adult,1,09/23/19,Finder's address,Westerly,Injury,
9/27/19,American Crow,Bird,Adult,1,09/27/19,Maine Rd,Little Compton,Likely car strike,
9/4/19,American Goldfinch,Bird,Juvenile,1,09/03/19,Finder's address,North Kingstown,R head tilt,
9/13/19,American Goldfinch,Bird,Juvenile,3,09/13/19,Finder's address,North Providence,Orphaned juvenile,
9/22/19,American Goldfinch,Bird,Juvenile,1,09/22/19,URI Quad,Wakefield,"Fell from tree. No improvement, neuro, not using legs well. Orphaned juvenile",
12/1/19,American Goldfinch,Bird,Adult,1,11/30/19,Finder's address,Barrington,"Sick, conjunctivitis",
12/23/19,American Goldfinch,Bird,Adult,1,12/22/19,Finder's address,North Kingstown,"Broken leg, neuro",
12/24/19,American Goldfinch,Bird,Sub-adult,1,12/23/19,Palm Blvd,Warwick,Possible window strike,
4/17/19,American Goldfinch ,Bird,Adult,1,04/17/19,Canonchet Preserves,Hopkinton,Wing FX,
8/9/19,American Goldfinch ,Bird,Adult,1,08/08/19,Finder's address,Riverside,"Wing injured, FX leg",
8/12/19,American Goldfinch ,Bird,Juvenile,1,08/12/19,Near Mohegan Bluffs,Block Island,N/A,
10/7/19,American Goldfinch ,Bird,Young Adult,1,10/06/19,Finder's address,West Greenwich,"Possible window strike, sl. back injury",
10/14/19,American Goldfinch ,Bird,Young Adult,1,10/14/19,Johnson & Wales campus,Providence,"Both legs useless, unable to walk, stand grasp.",
12/1/19,American Goldfinch ,Bird,Adult,1,12/01/19,Finder's address,North Kingstown,R wing broken,
12/15/19,American Goldfinch ,Bird,Adult,1,12/15/19,3335 Post Rd,Warwick,"Neuro, on back",
1/11/19,American Robin,Bird,Adult,1,01/11/19,"RWP Zoo, 1000 Elmwood Avenue",Providence,R shoulder dislocated,
2/12/19,American Robin,Bird,Adult,1,02/12/19,Finder's address,Cranston,"Possible HBC, swollen possible dislocated L shoulder",
3/2/19,American Robin,Bird,Adult,1,03/02/19,Newport Animal Hospital,Middletown,"Possible back injury, rolling, no improvement",
3/8/19,American Robin,Bird,Adult,1,03/08/19,Finder's address,Saunderstown,"Not flying, dying shortly after intake",
3/29/19,American Robin,Bird,Adult,1,03/29/19,Finder's address,Johnston,Broken wing,
4/15/19,American Robin,Bird,Young Adult,1,04/15/19,Finder's address,Warwick,"Eye injury, aspirated on blood, agonal breathing",
4/24/19,American Robin,Bird,Adult,1,04/24/19,Finder's address,Warwick,Broken R wing,
4/24/19,American Robin,Bird,Adult,1,04/24/19,1 Mohawk Drive,"Attleboro, MA",Fishing line wrapped around leg,
5/1/19,American Robin,Bird,Juvenile,1,05/01/19,Finder's address,West Warwick,Can't fly,
5/1/19,American Robin,Bird,Baby,1,05/21/19,Finder's address,Coventry,Orphaned juvenile,
5/2/19,American Robin,Bird,Adult,1,05/02/19,Finder's address,Warwick,"Severe back injury, legs paralyzed",
5/8/19,American Robin,Bird,Baby,1,05/08/19,Roger Williams Botanical Center,Providence,Orphaned juvenile,
5/8/19,American Robin,Bird,Baby,4,05/08/19,Finder's address,Westerly,Orphaned juvenile,
5/13/19,American Robin,Bird,Juvenile,1,05/13/19,Finder's address,Wakefield,Respiratory distress,
5/13/19,American Robin,Bird,Baby,4,05/13/19,Finder's address,Warwick,Fallen nest,
5/13/19,American Robin,Bird,Juvenile,1,05/13/19,1260 Greenwich Avenue,Warwick,Orphaned juvenile,
5/15/19,American Robin,Bird,Baby,1,05/15/19,Finder's address,Bradford,"Fell out of nest, covered in ants when found",
5/16/19,American Robin,Bird,Baby,3,05/16/19,Finder's address,Johnston,Orphaned juvenile,
5/17/19,American Robin,Bird,Juvenile,1,05/16/19,Finder's address,Cranston,FX leg,
5/18/19,American Robin,Bird,Adult,1,05/18/19,East Shore Drive,Coventry,Found in road,
5/20/19,American Robin,Bird,Baby,2,05/19/19,Finder's address,West Warwick,Failing.,
5/22/19,American Robin,Bird,Juvenile,2,05/22/19,181 Tailmight Drive,North Kingstown,Orphaned juvenile,
5/22/19,American Robin,Bird,Juvenile,1,05/22/19,Sand Pond Road,Warwick,Orphaned juvenile,
5/22/19,American Robin,Bird,Juvenile,1,05/21/19,Fire Station Potomomut,Warwick,FX leg,
5/22/19,American Robin,Bird,Baby,1,05/21/19,Birch Hill Drive,Cumberland,Orphaned juvenile,
5/23/19,American Robin,Bird,Juvenile,1,05/23/19,Finder's address,North Kingstown,Cold & dying,
5/23/19,American Robin,Bird,Adult,1,05/23/19,"138 East, near Newport Bridge",Jamestown,"Not flying, back injury",
5/24/19,American Robin,Bird,Adult,1,05/24/19,Finder's address,East Greenwich,Broken wing,
5/24/19,American Robin,Bird,Juvenile,1,05/24/19,Finder's address,Charlestown,"Cat caught, orphaned juvenile",
5/24/19,American Robin,Bird,Baby,1,05/24/19,Finder's address,Hopkinton,Orphaned juvenile,
5/24/19,American Robin,Bird,Baby,1,05/24/19,Finder's address,West Warwick,Injury,
5/25/19,American Robin,Bird,Juvenile,1,05/24/19,"84 Upland Way, Dept of Public Works",Barrington,Orphaned juvenile,
5/27/19,American Robin,Bird,Adult,1,05/27/19,Finder's address,Chepachet,"Broken leg, not fixable",
5/28/19,American Robin,Bird,Adult,1,05/28/19,Finder's address,East Greenwich,Unknown,
5/28/19,American Robin,Bird,Baby,1,05/27/19,"Ground, 234 A Old Post Rd",Wakefield,Orphaned juvenile,
5/28/19,American Robin,Bird,Juvenile,1,05/28/19,Finder's address,Warwick,Injury,
5/28/19,American Robin,Bird,Juvenile,1,05/28/19,10 Doris Ave,Warwick,"Foot caught in fence, no use of foot",
5/29/19,American Robin,Bird,Baby,1,05/29/19,Finder's address,South Kingstown,Found on ground among dead siblings,
5/30/19,American Robin,Bird,Juvenile,1,05/29/19,Finder's address,Cranston,FX leg,
5/30/19,American Robin,Bird,Adult,2,05/30/19,Plainfield Pike,Cranston,"HBC, found on road",
5/30/19,American Robin,Bird,Adult,1,05/30/19,"Rt 2, right across from Stop&Shop Plaza in middle of road",Warwick,HBC,
5/31/19,American Robin,Bird,Baby,1,05/31/19,Finder's address,Warwick,Finder's cat brought home,
5/31/19,American Robin,Bird,Baby,2,05/31/19,Finder's address,Wakefield,"Too small, failing.  Orphaned juvenile",
6/1/19,American Robin,Bird,Juvenile,1,05/31/19,Finder's address,Warwick,,
6/1/19,American Robin,Bird,Juvenile,1,05/31/19,400 Scituate Ave,Cranston,"Lethargic, head trauma.  Orphaned juvenile",
6/1/19,American Robin,Bird,Adult,1,05/31/19,Finder's address,Warwick,"Ripped below wing, not standing, woound turning necrotic",
6/1/19,American Robin,Bird,Baby,1,06/01/19,Finder's address,North Providence,"Nest too small, kept falling out.  Orphaned juvenile",
6/1/19,American Robin,Bird,Adult,1,06/01/19,Walmart,Newport,R eye injury,
6/5/19,American Robin,Bird,Adult,1,06/05/19,Finder's address,Warwick,"Window strike, neuro, R eye blind",
6/6/19,American Robin,Bird,Baby,1,06/05/19,,East Providence,"Small, failing. Orphaned juvenile. Poorly cared for by finder",
6/6/19,American Robin,Bird,Adult,1,06/06/19,Willard Ave,Wakefield,"HBC, blind, not standing but active at times",
6/6/19,American Robin,Bird,Adult,1,06/06/19,"Peckham Ln, water side off Indian Ave on path to water",Middletown,Tied in fishing wire,
6/7/19,American Robin,Bird,Baby,1,06/07/19,Finder's address,West Warwick,"Dislocated shoulder, no improvement",
6/10/19,American Robin,Bird,Juvenile,1,06/10/19,Finder's address,Warwick,None,
6/10/19,American Robin,Bird,Adult,1,06/10/19,Admiral St,Providence,"Severely emaciated, missing all tail feathers, some wounds",
6/10/19,American Robin,Bird,Juvenile,1,06/10/19,Finder's address,North Smithfield,Failing. Orphaned juvenile,
6/10/19,American Robin,Bird,Juvenile,1,06/10/19,Finder's address,Providence,"Unknown injury, failing on arrival",
6/10/19,American Robin,Bird,Young Adult,1,06/10/19,Finder's address,Cranston,"Back injury , blind in L eye, neuro, possible dislocated hip L leg",
6/10/19,American Robin,Bird,Juvenile,1,06/10/19,Charles St,Providence,Orphaned juvenile,
6/11/19,American Robin,Bird,Baby,1,06/11/19,Finder's address,Warwick,Broken L wing,
6/11/19,American Robin,Bird,Baby,1,06/10/19,Finder's address,Warwick,Cold. Orphaned juvenile,
6/12/19,American Robin,Bird,Baby,1,06/10/19,Finder's address,Johnston,Hawk caught.  Orphaned juvenile,
6/12/19,American Robin,Bird,Juvenile,1,06/12/19,Finder's address,Pawtucket,Orphaned juvenile,
6/13/19,American Robin,Bird,Juvenile,1,06/13/19,Finder's address,Warwick,Picked up by crow,
6/13/19,American Robin,Bird,Baby,1,06/12/19,"Hartford Ave, Johnston Line",Providence,Possible cat bite,
6/14/19,American Robin,Bird,Juvenile,1,06/13/19,135 Chestnut Dr,East Greenwich,Orphaned juvenile,
6/15/19,American Robin,Bird,Baby,3,06/14/19,Finder's address,Cranston,Orphaned juvenile,
6/15/19,American Robin,Bird,Baby,2,06/15/19,,Narragansett,?,
6/15/19,American Robin,Bird,Juvenile,1,06/14/19,Finder's address,Chepachet,Orphaned juvenile,
6/15/19,American Robin,Bird,Juvenile,1,06/15/19,Finder's address,Coventry,"Cat, wound under R wing",
6/16/19,American Robin,Bird,Baby,3,06/16/19,,Lincoln,Orphaned juvenile,
6/17/19,American Robin,Bird,Young Adult,1,06/16/19,Blackamore Pond,Cranston,FX leg,
6/17/19,American Robin,Bird,Juvenile,1,06/17/19,Finder's address,Warwick,Orphaned juvenile,
6/19/19,American Robin,Bird,Young Adult,1,06/18/19,Kingston Ave,Wakefield,FX hip,
6/20/19,American Robin,Bird,Juvenile,1,06/20/19,Finder's address,North Kingstown,"Broken R wing, emaciated",
6/20/19,American Robin,Bird,Baby,1,06/18/19,Finder's address,Wyoming,Blind R eye. Orphaned juvenile,
6/21/19,American Robin,Bird,Baby,2,06/21/19,Serpentine Rd,Warren,Nest down. Orphaned juvenile,
6/21/19,American Robin,Bird,Adult,1,06/21/19,Tower Hill Rd,North Kingstown,Injury,
6/21/19,American Robin,Bird,Juvenile,1,06/21/19,Finder's address,Pawtucket,Wing/leg injury? Not improving,
6/22/19,American Robin,Bird,Baby,2,06/22/19,Point Judith,Narragansett,Orphaned juvenile,
6/22/19,American Robin,Bird,Juvenile,1,06/22/19,Finder's address,North Kingstown,"Agonal breathing, failing. Orphaned juvenile",
6/24/19,American Robin,Bird,Young Adult,1,06/22/19,Finder's address,South Kingstown,Orphaned juvenile,
6/25/19,American Robin,Bird,juvenile,1,06/25/19,Finder's address,Cumberland,,
6/25/19,American Robin,Bird,Juvenile,1,06/22/19,Burlingame State Park,Charlestown,Air sac L side/respiratory (clicking),
6/25/19,American Robin,Bird,Young Adult,1,06/25/19,205 Hallene ave,Warwick,"L leg torn off at knee area, stuck in fence",
6/25/19,American Robin,Bird,Adult,1,06/25/19,17 Griffin Dr,Warwick,"Stuck in fence, leg not healed, wouldn't put pressure on it",
6/26/19,American Robin,Bird,Juvenile,1,06/26/19,Finder's address,South Kingstown,Orphaned juvenile,
6/26/19,American Robin,Bird,Juvenile,1,06/26/19,Finder's address,West Warwick,"Neuro, possible window/car strike",
6/27/19,American Robin,Bird,Juvenile,1,06/26/19,Finder's address,Saunderstown,FX hip,
6/27/19,American Robin,Bird,Young Adult,1,06/27/19,Finder's address,Warwick,"Back injury, falling over",
6/27/19,American Robin,Bird,Adult,1,06/27/19,30 Wildfield Farm Rd,Narragansett,"Back injury, head trauma, agonal after intake",
6/27/19,American Robin,Bird,Baby,1,06/27/19,Finder's address,Cranston,Orphaned juvenile,
6/29/19,American Robin,Bird,Juvenile,1,06/29/19,108 Harmony Ct,Warwick,Injury,
6/29/19,American Robin,Bird,Juvenile,1,06/28/19,Finder's address,West Warwick,Stolen fledgling. Orphaned juvenile,
6/29/19,American Robin,Bird,Young Adult,1,06/29/19,Finder's address,Cranston,Injured neck/wing,
6/29/19,American Robin,Bird,Juvenile,1,06/29/19,Finder's address,Greenville,L wing and leg FX,
6/29/19,American Robin,Bird,Juvenile,1,06/28/19,Bryant St,Cumberland,Orphaned juvenile,
6/29/19,American Robin,Bird,Young Adult,1,06/29/19,96 Westmoreland St,Narragansett,"Neuro, back injury, deep breathing. Failing",
7/2/19,American Robin,Bird,Adult,1,07/02/19,"Till's Cheesesteak, Rt 138",South Kingstown,Back injury. No improvement,
7/3/19,American Robin,Bird,Juvenile,1,07/01/19,Wickenden St,Providence,Missing foot,
7/5/19,American Robin,Bird,Baby,1,07/03/19,Finder's address,Pawtucket,Found in yard.,
7/8/19,American Robin,Bird,Baby,1,07/07/19,Elmwood Dr,North Kingstown,Kidnapped fledgling. Orphaned juvenile,
7/8/19,American Robin,Bird,Juvenile,1,07/08/19,Finder's address,Westerly,Broken R knee,
7/8/19,American Robin,Bird,Adult,1,07/08/19,Finder's address,West Warwick,Window strike. Wing/ leg injured,
7/8/19,American Robin,Bird,Juvenile,1,07/07/19,Finder's address,Middletown,Ruptured eye,
7/11/19,American Robin,Bird,Baby,1,07/11/19,Finder's address,Riverside,Head injury,
7/12/19,American Robin,Bird,Adult,1,07/12/19,12 Plymouth Rd,North Providence,Paralyzed,
7/13/19,American Robin,Bird,Baby,3,07/13/19,Finder's address,Cranston,Orphaned juvenile,
7/15/19,American Robin,Bird,Baby,1,07/13/19,Finder's address,Newport,Fell or thrown out of nest,
7/15/19,American Robin,Bird,Juvenile,1,07/15/19,10 Smith Ave,Greenville,Orphaned juvenile,
7/16/19,American Robin,Bird,Juvenile,2,07/16/19,Finder's address,Cranston,Fledgling. Orphaned juvenile,
7/16/19,American Robin,Bird,Baby,1,07/16/19,Finder's address,West Warwick,"Fell from tree, internal injuries",
7/16/19,American Robin,Bird,Juvenile,1,07/15/19,Finder's address,Pawtucket,FX wing,
7/17/19,American Robin,Bird,Juvenile,1,07/17/19,Finder's address,North Kingstown,"Neuro, no improvement",
7/17/19,American Robin,Bird,Juvenile,1,07/17/19,Finder's address,Wakefield,Back injury? Orphaned juvenile,
7/17/19,American Robin,Bird,Juvenile,1,07/17/19,Finder's address,North Kingstown,Fell 25-30 ft from tree,
7/18/19,American Robin,Bird,Young Adult,1,07/18/19,Finder's address,Tiverton,Broken R wrist,
7/18/19,American Robin,Bird,Juvenile,1,07/18/19,,Cranston,Injury.,
7/19/19,American Robin,Bird,Baby,2,07/19/19,Finder's address,Newport,"1-broken leg, 1-failing, agonal breathing. Orphaned juvenile",
7/19/19,American Robin,Bird,Baby,1,07/19/19,Finder's address,Warwick,Broken R wrist,
7/20/19,American Robin,Bird,Juvenile,1,07/28/19,Finder's address,Warwick,Dog caught,
7/20/19,American Robin,Bird,Juvenile,1,07/20/19,Finder's address,Lincoln,Dog caught,
7/20/19,American Robin,Bird,Baby,1,07/20/19,Finder's address,Warwick,Orphaned juvenile,
7/21/19,American Robin,Bird,Baby,1,07/21/19,King Tom Dr,Charlestown,"Had maggots, was very cold",
7/22/19,American Robin,Bird,Baby,1,07/22/19,Clinton St,Woonsocket,Failing/vomiting. Orphaned juvenile,
7/22/19,American Robin,Bird,Young Adult,1,07/22/19,Finder's address,Warwick,Window strike,
7/22/19,American Robin,Bird,Baby,1,07/21/19,Smith St,Providence,"Neuro, broken L leg",
7/22/19,American Robin,Bird,Juvenile,1,07/19/19,Bachelor Ave,Cranston,Orphaned juvenile,
7/22/19,American Robin,Bird,Adult,1,07/22/19,"Veterans Memorial Pkwy, with S. Broadway St",Riverside,"Severe head trauma/brain damage, seisure",
7/23/19,American Robin,Bird,Baby,1,07/23/19,Finder's address,Cranston,Orphaned juvenile,
7/23/19,American Robin,Bird,Juvenile,1,07/23/19,"Hotel Viking, 1 Bellevue Ave",Newport,Orphaned juvenile,
7/23/19,American Robin,Bird,Baby,1,07/23/19,Palm Beach Ave,Narragansett,FX wrist,
7/23/19,American Robin,Bird,Baby,1,07/23/19,Finder's address,Pawtucket,Orphaned juvenile,
7/23/19,American Robin,Bird,Baby,1,07/23/19,Finder's address,Cranston,Orphaned juvenile,
7/23/19,American Robin,Bird,Baby,2,07/23/19,Finder's address,Coventry,Nest fell out of tree. Sibling found dead. Orphaned juvenile,
7/23/19,American Robin,Bird,Juvenile,3,07/23/19,14 Evans St,Tiverton,Orphaned juvenile,
7/24/19,American Robin,Bird,Juvenile,1,07/23/19,Finder's address,Rumford,Orphaned juvenile,
7/24/19,American Robin,Bird,Juvenile,1,07/24/19,Finder's address,Pawtucket,Wing?,
7/24/19,American Robin,Bird,Young Adult,1,07/24/19,Finder's address,Lincoln,"Cat attack, open wound in leg",
7/24/19,American Robin,Bird,Young Adult,1,07/24/19,,Smithfield,"Dying, leg stiff, seizing. Orphaned juvenile",
7/25/19,American Robin,Bird,Adult,1,07/25/19,Between Clarke Rd & Fox Rd,Narragansett,,
7/25/19,American Robin,Bird,Adult,1,07/25/19,"Whole Foods, back of building",Providence,"Injured L wing, slight injury to R wing",
7/25/19,American Robin,Bird,Baby,2,07/25/19,Finder's address,North Kingstown,Fell from nest,
7/26/19,American Robin,Bird,Adult,1,07/26/19,Finder's address,Cranston,Part-wing missing,
7/26/19,American Robin,Bird,Baby,1,07/26/19,Peckham's Greenhouse,Little Compton,Orphaned juvenile,
7/27/19,American Robin,Bird,Baby,1,07/26/19,Finder's address,Johnston,Cat caught,
7/28/19,American Robin,Bird,Baby,3,07/28/19,Finder's address,Coventry,"Too cold, bellies taught",
7/30/19,American Robin,Bird,Juvenile,1,07/30/19,Finder's address,North Kingstown,Cat caught. FX wing. Orphaned juvenile,
7/30/19,American Robin,Bird,Juvenile,1,07/29/19,Finder's address,North Kingstown,Found in finder's house,
7/31/19,American Robin,Bird,Baby,1,07/31/19,Rumstick Rd,Barrington,Orphaned juvenile,
7/31/19,American Robin,Bird,Juvenile,1,07/31/19,,North Kingstown,"Cataract in L eye, blind",
8/1/19,American Robin,Bird,Juvenile,1,08/01/19,Finder's address,West Warwick,Laying on its side,
8/3/19,American Robin,Bird,Juvenile,1,08/03/19,Johnston Memorial Park,Johnston,"Blind, emaciated",
8/3/19,American Robin,Bird,Juvenile,1,08/03/19,Finder's address,Cumberland,Dog caught,
8/3/19,American Robin,Bird,Juvenile,1,08/03/19,Finder's address,Johnston,Window strike,
8/3/19,American Robin,Bird,Juvenile,1,08/03/19,Finder's address,Warwick,Orphaned juvenile,
8/4/19,American Robin,Bird,Juvenile,1,08/04/19,Finder's address,South Kingstown,Cat caught,
8/4/19,American Robin,Bird,Baby,1,08/04/19,Finder's address,Warwick,"Cat caught, wound on neck",
8/4/19,American Robin,Bird,Baby,1,08/04/19,Finder's address,Johnston,No wounds found. Cat caught. Orphaned juvenile,
8/5/19,American Robin,Bird,Juvenile,1,08/05/19,Finder's address,North Providence,Wing/bite from cat? Organs exposed.,
8/7/19,American Robin,Bird,Adult,1,08/07/19,Finder's address,Cranston,Not flying,
8/8/19,American Robin,Bird,Young Adult,1,08/08/19,Finder's address,Warwick,Mangled leg,
8/10/19,American Robin,Bird,Juvenile,1,08/09/19,Finder's address,Cumberland,Dog caught,
8/11/19,American Robin,Bird,Young Adult,1,08/11/19,Finder's address,Warwick,Orphaned juvenile,
8/11/19,American Robin,Bird,Young Adult,1,08/11/19,Finder's address,Cranston,Injury,
8/12/19,American Robin,Bird,Juvenile,1,08/12/19,Farmer's Daughter,South Kingstown,"Head trauma, possible cat caught, R eye damaged. Orphaned juvenile",
8/15/19,American Robin,Bird,Young Adult,1,08/15/19,407 Pontiac Ave,Cranston,"Car strike, possible head injury",
8/16/19,American Robin,Bird,Adult,1,8/16/19,Finder's address,North Providence,Back injury,
8/19/19,American Robin,Bird,Juvenile,1,08/16/19,Finder's address,Charlestown,Orphaned juvenile,
8/24/19,American Robin,Bird,Juvenile,1,08/24/19,Finder's address,East Greenwich,FX to R elbow,
8/27/19,American Robin,Bird,Juvenile,1,08/27/19,Finder's address,East Greenwich,Dog caught,
8/29/19,American Robin,Bird,Juvenile,1,08/29/19,Finder's address,Kingston,Injury,
9/8/19,American Robin,Bird,Juvenile,1,09/08/19,136 Northbridge Ave,Warwick,R Leg FX @ hip,
9/10/19,American Robin,Bird,Juvenile,1,9/10/19,Finder's address,East Greenwich,"Possibly kidnapped, fledgling",
9/12/19,American Robin,Bird,Baby,1,09/12/19,Finder's address,North Kingstown,Orphaned juvenile,
10/1/19,American Robin,Bird,Young Adult,1,10/01/19,Finder's address,Providence,"Attacked by cat, open FX to L wing",
11/4/19,American Robin,Bird,Adult,1,11/04/19,Finder's address,East Greenwich,Missing one eye. Avian Pox,
12/15/19,American Robin,Bird,Adult,1,12/15/19,Finder's address,Saunderstown,Flew into picture window,
6/7/19,American Robin ,Bird,Juvenile,1,06/07/19,Finder's address,Providence,FX R leg,
2/26/19,American Woodcock,Bird,Adult,1,02/26/19,Quonset Airport,North Kingstown,Broken beak,
2/27/19,American Woodcock,Bird,Adult,1,2/27/19,"3671 Quaker Lane, Tarbox Toyota Car dealership",North Kingstown,Window strike,
11/13/19,American Woodcock,Bird,Adult,1,11/13/19,Fountain St,Providence,Eye ruptured,
5/11/19,Baltimore Oriole,Bird,Adult,1,05/11/19,Near resevoir,Rumford,HBC,
5/21/19,Baltimore Oriole,Bird,Adult,1,05/22/19,Ledge Road,"Seekonk, MA",Neuro,
6/15/19,Baltimore Oriole,Bird,Baby,1,06/15/19,Finder's address,East Greenwich,Orphaned juvenile,
6/18/19,Baltimore Oriole,Bird,Juvenile,1,06/17/19,Bradford Court,West Warwick,Broken R wing,
6/20/19,Baltimore Oriole,Bird,Baby,1,06/19/19,Finder's address,Coventry,Orphaned juvenile,
6/29/19,Baltimore Oriole,Bird,Baby,1,06/29/19,Rt 116,Coventry,Hit a motorcycle,
7/7/19,Baltimore Oriole,Bird,Baby,1,07/06/19,Finder's address,Saunderstown,Cat caught,
7/13/19,Baltimore Oriole,Bird,Adult,1,07/13/19,Driveway at Finder's address,Woonsocket,Back injury,
9/1/19,Baltimore Oriole,Bird,Juvenile,1,09/01/19,Finder's address,Saunderstown,Injury?,
6/19/19,Barn Swallow,Bird,Baby,3,06/19/19,Warwick Sewer Authority,Warwick,Orphaned juvenile,
6/25/19,Barn Swallow,Bird,Juvenile,1,06/24/19,"Horse Barn, Resevoir Rd",Lincoln,Orphaned juvenile,
7/5/19,Barn Swallow,Bird,Adult,1,07/05/19,48 Bouchard Ave,Little Compton,Found in barn. Broken wing.,
7/12/19,Barn Swallow,Bird,Adult,1,07/11/19,Finder's address,Newport,Injury,
7/12/19,Barn Swallow,Bird,Juvenile,1,07/12/19,Burlingame State Park,Charlestown,"Fledged, broken wing",
7/13/19,Barn Swallow,Bird,Young Adult,1,07/13/19,Finder's address,Wakefield,Not flying-walking,
7/29/19,Barn Swallow,Bird,Baby,1,07/29/19,Finder's address,East Greenwich,Orphaned juvenile,
7/31/19,Barn Swallow,Bird,Baby,1,07/31/19,Barn,Richmond,Orphaned juvenile,
8/2/19,Barn Swallow,Bird,Baby,1,08/02/19,Barn on Curtis Corner Rd,Wakefield,Fell out of nest,
11/25/18,Barred Owl,Bird,Adult,1,11/25/18,"Exit Rt 4 South to 102, next to Home Depot",North Kingstown,HBC,
1/3/19,Barred Owl,Bird,Adult,1,1/3/19,Finder's address,Newport,"Very weak, no improvement, dislocation in wrist",
1/7/19,Barred Owl,Bird,Adult,1,01/07/19,235 Promenade Street,Providence,"HBC, badly fractured wing",
1/9/19,Barred Owl,Bird,Adult,1,1/9/19,Boston Neck Road/Snuff Hill Road,North Kingstown,"Unknown, found in road",
1/12/19,Barred Owl,Bird,Young Adult,1,01/12/19,"On Beavertail Road, between Fort Getty and Battery Lane",Jamestown,"Weak, wouldn't move out of road",
1/18/19,Barred Owl,Bird,Adult,1,1/18/19,,North Kingstown,Unknown,
1/20/19,Barred Owl,Bird,Adult,1,1/20/19,Finder's address,Middletown,Wing injury,
1/25/19,Barred Owl,Bird,Adult,1,1/25/19,Main Avenue,Warwick,?,
1/25/19,Barred Owl,Bird,Adult,1,01/25/19,5 Green Acres Drive,Narragansett,Ruptured L eye,
2/4/19,Barred Owl,Bird,Adult,1,02/04/19,"Shady Lea Road, Route 1",North Kingstown,Can't fly,
2/5/19,Barred Owl,Bird,Adult,1,2/5/19,East Greenwich/Greenbush Road,West Warwick,Struck by vehicle,
2/7/19,Barred Owl,Bird,Adult,1,02/06/19,"1/4 South of Grays @ Four Corners Ice Ceram, Main Road",Tiverton,Possible HBC,
2/7/19,Barred Owl,Bird,Adult,1,2/7/19,Wooded area across from Greenbush Elementary School,West Warwick,Window strike,
2/8/19,Barred Owl,Bird,Young Adult,1,02/08/19,Narrow Lane,Charlestown,"Very weak, not flying, no improvement",
2/13/19,Barred Owl,Bird,Adult,1,02/13/19,Spring Street + Dye Street,Hope Valley,"Head trauma, neuro blind",
2/21/19,Barred Owl,Bird,Adult,1,02/21/19,619 Boston Neck Road,North Kingstown,"FX L radius/ulna, wing not healed after 3 days, won't heal properly",
2/24/19,Barred Owl,Bird,Adult,1,2/24/19,"Ocean Road/Point Judith Road, just past Iggy's",Narragansett,Eye/wing injury,
